Detailed simulation                                             | SCEL_HKD_v1                                                    
Consolidated simulation                                         | MX_IRD_Model risk                                              
MarketData                                                      | DMS_MX_FXC_DETPL                                               
MarketDataViewer                                                | DMS_MX_FXC_DETPL                                               
Detailed simulation                                             | MX_IRD_PV01 by curve                                           
Consolidated simulation                                         | MX_BOND_Bucketed average duration                              
VolatilitiesCalibration                                         | MX_BOND_Bucketed average duration                              
Detailed simulation                                             | MX_FXD_BarrierManagment_CON                                    
Consolidated simulation                                         | MX_FXD_FX delta spot total                                     
Consolidated simulation                                         | MX_FXD_MainscreenWithFxCur                                     
Consolidated simulation                                         | MX_FXD_Open positions                                          
MarketDataViewer                                                | MX_IRD PV01 Chart by Curve                                     
MarketData                                                      | FOM-PL                                                         
MarketDataViewer                                                | FOM-PL                                                         
MarketData                                                      | FX Options                                                     
Detailed simulation                                             | JON ICRAN NID                                                  
MarketData                                                      | MX_ALL_Correlations sensitivities                              
Pending Deals                                                   | MX_ALL_New and draft deals                                     
Detailed simulation                                             | MX_BOND_Bucketed position                                      
VolatilitiesCalibration                                         | MX_BOND_Bucketed position                                      
Detailed simulation                                             | MX_BOND_Eq pos by country                                      
Consolidated simulation                                         | MX_FXD_Expiries_CON                                            
Detailed simulation                                             | SENSI_DATES MY TRAD                                            
MarketDataViewer                                                | greeks_2                                                       
Detailed simulation                                             | MX_BOND                                                        
VolatilitiesCalibration                                         | MX_BOND                                                        
MarketData                                                      | MX_MD_IRD_CF_Calibrated_Vol_Graph                              
MarketData                                                      | MX_MD_IRD_Inflation_Seaso_Add                                  
MarketData                                                      | MX_MD_IRD_Rate_Sheets_Basis_Swap                               
Detailed simulation                                             | MX_MD_IRD_Rate_Sheets_DepGen                                   
MarketData                                                      | MX_MD_IRD_Rate_Sheets_SF                                       
Consolidated simulation                                         | MX_OMS_ALL by distance                                         
Detailed simulation                                             | MX_OMS_ALL by distance                                         
MarketDataViewer                                                | MX_OMS_ALL by distance                                         
VolatilitiesCalibration                                         | MX_OMS_ALL by level                                            
VolatilitiesCalibration                                         | MX_OMS_ALL by reference                                        
Consolidated simulation                                         | MX_OMS_BOND by level                                           
MarketDataViewer                                                | MX_OMS_BOND by level                                           
Consolidated simulation                                         | MX_OMS_BOND by reference                                       
MarketData                                                      | MX_OMS_BOND by reference                                       
Consolidated simulation                                         | MX_OMS_FX Trading Desk trade position                          
Consolidated simulation                                         | MX_OMS_FX by distance                                          
VolatilitiesCalibration                                         | MX_OMS_FX by distance                                          
Detailed simulation                                             | MX_PL_MTM breakdown daily (c)                                  
Consolidated simulation                                         | MX_REC_CONSO                                                   
Detailed simulation                                             | MX_REC_CONSO                                                   
MarketData                                                      | MX_REC_CONSO                                                   
Consolidated simulation                                         | MX_SF_CollateralManager                                        
Detailed simulation                                             | MX_SF_SecInv_LTERM                                             
VolatilitiesCalibration                                         | MX_SF_SecInv_LTERM                                             
TradeContribution                                               | MX_SF_TradeDateInventory                                       
TradeContribution                                               | MX_TC_SF_Sec delivery schedule                                 
Cross-asset volatility                                          | MX_VM_IRD_OSWP Extrapolation analysis - smile graph            
MarketDataViewer                                                | MX_VM_IRD_OSWP Logical space - Logical space                   
Cross-asset volatility                                          | MX_VM_IRD_OSWP Smile builder - smile comparison                
Cross-asset volatility                                          | MX_VM_IRD_OSWP Smile dynamics - rate curve                     
MarketDataViewer                                                | MX_VM_IRD_OSWP Smile dynamics - rate curve                     
Detailed simulation                                             | OPT Premium SG                                                 
MarketData                                                      | OPT Premium SG                                                 
VolatilitiesCalibration                                         | MX_FXD_Liquidity_CON                                           
MarketData                                                      | MX_IRD_Call_Dates                                              
VolatilitiesCalibration                                         | MX_IRD_Call_Dates                                              
Consolidated simulation                                         | MX_ALL                                                         
Consolidated simulation                                         | MX_FXD_DeltaHedge_TotalDeltaByCurrency_CON                     
Detailed Today simulation                                       | MLC_INV                                                        
MarketData                                                      | MLC_INV                                                        
Consolidated simulation                                         | REF_DETPL                                                      
Detailed Today simulation                                       | REF_DETPL                                                      
MarketData                                                      | REF_DETPL                                                      
Cross-asset volatility                                          | REF_PL                                                         
MarketDataViewer                                                | BA Ballance View                                               
Consolidated simulation                                         | MX_MM_Banking book interest rates exposure                     
Detailed simulation                                             | MX_MM_Banking book interest rates exposure                     
Consolidated simulation                                         | MX_MM_Banking book accrual PL                                  
SecuritiesAudit                                                 | User Defined View                                              
AccountBalExtract                                               | User Defined View                                              
CombinedPortfoliosRights                                        | User Defined View                                              
CounterpartsList                                                | User Defined View                                              
MarketDataViewer                                                | MX_IRD_Multi hedge baskets                                     
Consolidated simulation                                         | Backtesting_MYR_Test                                           
Consolidated simulation                                         | Backtest_MYR_lyt_test                                          
Detailed simulation                                             | MX_IRD_PV01 details                                            
MarketDataViewer                                                | MX_IRD_PV01 details                                            
C_FINIQ_INS_QRY                                                 | C_FINIQ_INS_V                                                  
AuditCalendar                                                   | ProSpectiveFirstPage                                           
CashAjustments                                                  | ProSpectiveFirstPage                                           
CrtpAudit                                                       | ProSpectiveFirstPage                                           
IAS_REQUEST_PROSPEC                                             | ProSpectiveFirstPage                                           
IAS_REQUEST_RETROSPEC                                           | ProSpectiveFirstPage                                           
PL08-AccrualPLProjection                                        | ProSpectiveFirstPage                                           
RepConfigAudit                                                  | ProSpectiveFirstPage                                           
SalesMarginRequest                                              | ProSpectiveFirstPage                                           
SupGroupDetails                                                 | ProSpectiveFirstPage                                           
Detailed simulation                                             | MX_ALL_Liquidity                                               
MarketData                                                      | MX_ALL_Liquidity                                               
MarketDataViewer                                                | MX_ALL_Reverse cumulative flows                                
VolatilitiesCalibration                                         | MX_BOND_Position                                               
MarketDataViewer                                                | MX_IRD_PV01 (zero) by currency                                 
Detailed simulation                                             | MX_MM_Fixing risk                                              
VolatilitiesCalibration                                         | MX_FX_Position by currency                                     
Detailed simulation                                             | MX_PL_MTM summary (c)                                          
C_DLY_LTRD_QRY                                                  | C_EXT_DLY_LTRD_V                                               
C_IRS_MY_QRY                                                    | C_EXT_IRS_MY_V                                                 
C_EXT_OPT_MTHLYSTATEMENT_QRY                                    | C_EXT_OPT_MTHLYSTATEMENT_FOOTER_V                              
C_HLMY_CSDLYPL2_QRY                                             | C_HLMY_CSDLYPL2_V                                              
C_OUTSTD_MI_ABI_NDI_QRY                                         | C_OUTSTD_MI_ABI_NDI_V                                          
C_EXT_SC_COMMISSION_SUMMARY                                     | C_SC_COMMISSION_SUMARY_V                                       
C_STRUC_PROD_LIMIT_REP_QRY                                      | C_STRUC_PROD_LIMIT_REP_V                                       
AccountBalExtract                                               | Closing Account Balances                                       
IAS_REQUEST_RETROSPEC                                           | RetroSpectiveTypeOfRiskBeingHedged                             
SalesMarginRequest                                              | Sales Margin Report                                            
TransacListing                                                  | TrnListing_FXD                                                 
TransacListing                                                  | TrnListing_Securities                                          
TransacListing                                                  | TrnListing_Swaptions                                           
MD01-CreditSpreads                                              | crd_Credit spreads                                             
JobsAuditSQL                                                    | AU25-Header_lyt                                                
C_EXT_OPT_MTHLYSTATEMENT_QRY                                    | C_EXT_OPT_MTHLYSTATEMENT_FOOTER_V_lyt                          
OfficialPLHistory                                               | FX Spots Chart_OfficialPLHistory                               
TransacListingByStatus                                          | OP04a-OptionPremiumAmounts                                     
SecFinImpactedTrades                                            | OP10-SecFinImpactedTrades                                      
PL Explain                                                      | P&L Explain Report                                             
IAS_REQUEST_PROSPEC                                             | ProSpectiveInterestRateSwaps/CrossCurrencySwapsLeg1            
IAS_REQUEST_PROSPEC                                             | ProSpectiveSwaptionsLeg1Details                                
IAS_REQUEST_RETROSPEC                                           | RetroSpectiveEffectivenessTestResultsHeader                    
IAS_REQUEST_RETROSPEC                                           | RetroSpectiveInterestRateSwaps/CrossCurrencySwapsLeg2          
IAS_REQUEST_PROSPEC                                             | RetrospectiveFirstPage                                         
PortfolioTree                                                   | RetrospectiveFirstPage                                         
ReportingTemplates                                              | RetrospectiveFirstPage                                         
SupOspRights                                                    | RetrospectiveFirstPage                                         
Detailed simulation                                             | C_MD_FXRATE_V                                                  
MarketDataViewer                                                | C_MD_FXRATE_V                                                  
Detailed simulation                                             | C_MD_RTCURV_V                                                  
Consolidated simulation                                         | C_SIM_PLVAR_V                                                  
TradeContribution                                               | C_SIM_PLVAR_V                                                  
Consolidated simulation                                         | C_TRD_PLVAR_DM_V                                               
Detailed simulation                                             | C_FXDELTA_HEDGE_lyt                                            
MarketDataViewer                                                | C_FXDELTA_HEDGE_lyt                                            
Consolidated simulation                                         | C_MD_RTCURV_V_lyt                                              
Consolidated simulation                                         | C_PL Variance_lyt                                              
Consolidated simulation                                         | C_TRD_PLVAR_DM_V_lyt                                           
Detailed simulation                                             | PL Variance                                                    
MarketData                                                      | PL Variance                                                    
CounterpartsList                                                | RetrospectiveFirstPage                                         
ERSNetPosition                                                  | RetrospectiveFirstPage                                         
EventSettlementsAudit                                           | RetrospectiveFirstPage                                         
Detailed simulation                                             | DMR_MX_IRD_Accrual_PL (c)                                      
MarketDataViewer                                                | DMR_MX_IRD_Accrual_PL (c)                                      
MarketData                                                      | DMR_MX_ALL_IR PV01 (Par)                                       
VolatilitiesCalibration                                         | DMR_MX_OSWP_CallDates                                          
Detailed simulation                                             | DMS_MX_ALL_POSITION_REPAIR                                     
JobsAuditSQL                                                    | AU25_DataGenerationComp                                        
JobsAuditSQL                                                    | AU25_JobsAudit_SummaryRun                                      
C_BAOWN_SOLD_MATURITY_REP_QRY                                   | C_BAOWN_SOLD_MATURITY_V                                        
C_DELTA_HEDGE_Q                                                 | C_DELTA_HDG_V                                                  
AccountBalExtract                                               | RetrospectiveFirstPage                                         
ERSCashFlowStatement                                            | ProSpectiveSecondPage                                          
MD02-FXRates                                                    | ProSpectiveSecondPage                                          
SupChineseWallsRights                                           | ProSpectiveSecondPage                                          
TransacListing2Dates                                            | ProSpectiveSecondPage                                          
UserGroupList                                                   | ProSpectiveSecondPage                                          
MarketDataViewer                                                | TEST_MARKETDATA_V                                              
Consolidated simulation                                         | TEST_MARKETDATA_LYT                                            
Detailed simulation                                             | TEST_MARKETDATA_LYT                                            
Consolidated simulation                                         | ERM_FXBASIS_TR                                                 
MarketData                                                      | ERM_FXBASIS_TR                                                 
MarketDataViewer                                                | ERM_IRBASIS_TR                                                 
Detailed simulation                                             | ERM_IRSENSI_AFSHTM                                             
MarketData                                                      | ERM_FXGREEKS                                                   
CashAjustments                                                  | RetrospectiveSecondPage                                        
cashFlowsQuery                                                  | ProSpectiveFirstPage                                           
ERSCashFlowStatement                                            | RetrospectiveSecondPage                                        
IAS_REQUEST_RETROSPEC                                           | RetrospectiveSecondPage                                        
ProcessingScriptAudit                                           | RetrospectiveSecondPage                                        
SalesMarginRequest                                              | RetrospectiveSecondPage                                        
SupChineseWallsRights                                           | RetrospectiveSecondPage                                        
SupConfiguratorRightAudit                                       | RetrospectiveSecondPage                                        
SupGroupDetails                                                 | RetrospectiveSecondPage                                        
SupOspRights                                                    | RetrospectiveSecondPage                                        
UserLoginActiv                                                  | RetrospectiveSecondPage                                        
cashFlowsBrokerage                                              | RetrospectiveSecondPage                                        
Detailed simulation                                             | ERM_OPENPOSITION                                               
MarketData                                                      | DMR_MX_ALL_MD_FXRATE_lyt                                       
MarketDataViewer                                                | DMR_MX_ALL_MD_FXRATE_lyt                                       
Consolidated simulation                                         | DMR_MX_ALL_MD_YLDCURV_lyt                                      
VolatilitiesCalibration                                         | Backtesting_SGD                                                
Consolidated simulation                                         | Backtest_HKD_lyt                                               
MarketData                                                      | RISK DLR2_HK                                                   
MarketDataViewer                                                | RISK DLR2_HK                                                   
MarketData                                                      | ZC SENSITIVITY USD                                             
MarketDataViewer                                                | ZC SENSITIVITY USD                                             
Detailed simulation                                             | SIA 2 (ISLAMIC)                                                
MarketData                                                      | FX_SWAP                                                        
Consolidated simulation                                         | HP View                                                        
Detailed simulation                                             | HP View                                                        
MarketDataViewer                                                | HP View                                                        
Detailed simulation                                             | A/c Pnl2                                                       
Detailed simulation                                             | jyy                                                            
Detailed simulation                                             | P&L by instrument                                              
MarketData                                                      | P&L by instrument                                              
Consolidated simulation                                         | AY                                                             
Consolidated simulation                                         | FOM-PL-sales-try                                               
Consolidated simulation                                         | FOM-PLmatrix                                                   
Consolidated simulation                                         | BA View - MM                                                   
MarketData                                                      | HedgeEff                                                       
MarketDataViewer                                                | FXD_PLVAR_lyt                                                  
MarketData                                                      | PV01                                                           
Consolidated simulation                                         | P&L by instrument2                                             
MarketData                                                      | Hedging_HP                                                     
MarketData                                                      | IR PV01-Rev                                                    
MarketDataViewer                                                | ivan10                                                         
MarketDataViewer                                                | GroupS                                                         
MarketDataViewer                                                | Bond-Osc                                                       
MarketDataViewer                                                | SIA 3 (ISLAMIC)                                                
Consolidated simulation                                         | IRS_PL                                                         
Detailed simulation                                             | ALM P&L - YSH2 (FCY MM)                                        
MarketDataViewer                                                | User Defined View_1_2_3_4_5_6                                  
Consolidated simulation                                         | testJohann                                                     
MarketDataViewer                                                | HK Liquidity Ratio 360                                         
Consolidated simulation                                         | 1 Recon ST trade no.                                           
MarketData                                                      | JY_PL3                                                         
MarketDataViewer                                                | JY_PL3                                                         
MarketDataViewer                                                | Liquidity HK                                                   
Consolidated simulation                                         | IslamicReports                                                 
Detailed simulation                                             | IslamicReports                                                 
Consolidated simulation                                         | IRS_PL2                                                        
Detailed simulation                                             | IzwanTest                                                      
MarketDataViewer                                                | IzwanTest                                                      
Consolidated simulation                                         | SENSI_DATES MY - ALM                                           
MarketData                                                      | User Defined View_1_2                                          
MarketDataViewer                                                | IRM Bond View_Global                                           
Detailed simulation                                             | PV01_BNM                                                       
MarketData                                                      | Repo IRM_lyt                                                   
Detailed simulation                                             | PL Selldown                                                    
MarketData                                                      | User Defined View_1_2_3_4_5                                    
MarketDataViewer                                                | User Defined View_1_2_3_4_5                                    
MarketData                                                      | OFCL view 2                                                    
Consolidated simulation                                         | DG                                                             
MarketData                                                      | DG                                                             
MarketDataViewer                                                | FX by curr AK                                                  
Detailed simulation                                             | Proceeds_IRM_HK_v2                                             
Consolidated simulation                                         | CT Acct PL                                                     
Consolidated simulation                                         | IRM Holding Period                                             
Detailed simulation                                             | IRM Holding Period                                             
Detailed simulation                                             | TKYPL                                                          
MarketData                                                      | Swaptions                                                      
Consolidated simulation                                         | FOM-LCM                                                        
MarketDataViewer                                                | PNL Bond Testing                                               
Detailed simulation                                             | NID View - Islamic                                             
Consolidated simulation                                         | Shirley PL by CCY                                              
MarketData                                                      | test                                                           
MarketDataViewer                                                | test_price                                                     
MarketDataViewer                                                | JEN-ECOPL-Recon2                                               
MarketData                                                      | CURR                                                           
Consolidated simulation                                         | IRD_Swaption_Vega                                              
Detailed simulation                                             | IRD_Swaption_Vega                                              
MarketDataViewer                                                | RISK DLR2 HK_YR1                                               
MarketDataViewer                                                | Shirley_Repo                                                   
MarketDataViewer                                                | FOM-MM-v                                                       
Consolidated simulation                                         | 01Jyy Shiuan recon                                             
Detailed simulation                                             | Vishal FCY MM try                                              
MarketDataViewer                                                | Vishal FCY MM try                                              
Detailed simulation                                             | 00 New AFS view4                                               
Consolidated simulation                                         | NOP-FXOPT                                                      
MarketData                                                      | NOP-FXOPT                                                      
Detailed simulation                                             | Selldown_FundingReset_HKD                                      
MarketDataViewer                                                | Basis Risk Sensi_IRM2                                          
MarketDataViewer                                                | Kelly bond sale pnl                                            
MarketDataViewer                                                | Shirley AFS PnL                                                
Detailed simulation                                             | SENSI_CreditPV01                                               
Consolidated simulation                                         | IR PV01                                                        
Consolidated simulation                                         | RISK DLR_mm                                                    
Detailed simulation                                             | IRS_Pos_QSBM                                                   
Consolidated simulation                                         | HK Liquidity Ratio - Test                                      
Detailed simulation                                             | AFS HTM P&L (spi)                                              
MarketDataViewer                                                | ALM P&L - YSH1 (FCY MM)                                        
MarketData                                                      | IRM Repo View AFS                                              
MarketData                                                      | Proceeds_IRM_Test                                              
Detailed simulation                                             | FOM-PL-branch                                                  
Detailed simulation                                             | P&L per Trade B                                                
Consolidated simulation                                         | JOECHIU                                                        
Detailed simulation                                             | JOECHIU                                                        
Detailed simulation                                             | Shirley SG_AFS                                                 
Consolidated simulation                                         | 00 single tab                                                  
MarketData                                                      | 00 New AFS view                                                
Consolidated simulation                                         | Bond Trad_2 HY                                                 
Detailed simulation                                             | Bond Trad_2 HY                                                 
Consolidated simulation                                         | ZC SENSI_MYR_bucket                                            
Consolidated simulation                                         | BA POSITION  - YSHjo                                           
Detailed simulation                                             | t 1                                                            
Detailed simulation                                             | GREEK                                                          
MarketData                                                      | IRD Bond Futures PNL - CB                                      
MarketData                                                      | Treasury Gap_MM                                                
Detailed simulation                                             | IRM NLS                                                        
MarketData                                                      | Bond Position_fil                                              
MarketDataViewer                                                | A/c Pnl  - bond                                                
Detailed simulation                                             | test1                                                          
MarketData                                                      | Bond P&L Sum3                                                  
MarketDataViewer                                                | RISK DLR2-eric                                                 
Consolidated simulation                                         | Proceeds_IRM (Native Ccy)                                      
MarketData                                                      | FXO Greeks - USD per deal                                      
MarketData                                                      | MM P&L Details                                                 
MarketData                                                      | IRM New Report                                                 
MarketDataViewer                                                | IRM New Report                                                 
MarketDataViewer                                                | P&L_SCF_MM                                                     
Consolidated simulation                                         | Bonds_perdeal                                                  
Detailed simulation                                             | SG_FXMT                                                        
MarketData                                                      | SG_FXMT                                                        
MarketData                                                      | RISK DLR2_YR                                                   
Consolidated simulation                                         | BAR IRM                                                        
MarketDataViewer                                                | BAR IRM                                                        
Detailed simulation                                             | Bond P&L (excl MTM)2 try                                       
MarketDataViewer                                                | Bond P&L (excl MTM)2 try                                       
MarketDataViewer                                                | SENSI_DATES SG                                                 
Detailed simulation                                             | IROption IRM                                                   
Consolidated simulation                                         | Shirley Islamic NID                                            
MarketData                                                      | Group_Nom                                                      
MarketData                                                      | IR Sensi_pdeal                                                 
Detailed simulation                                             | JY_PL                                                          
Consolidated simulation                                         | CURR_HKD_pdeal                                                 
Detailed simulation                                             | IRS View                                                       
MarketData                                                      | IRS View                                                       
Consolidated simulation                                         | FX_SWAP2_pdealYR                                               
MarketData                                                      | FX_SWAP2_pdealYR                                               
MarketDataViewer                                                | FX_SWAP2_pdealYR                                               
Consolidated simulation                                         | RISK DLR2_tradeNumber                                          
MarketData                                                      | test123                                                        
MarketData                                                      | Barrier                                                        
Detailed simulation                                             | Repo Accrual -3_1 (Report                                      
MarketDataViewer                                                | IRS                                                            
Detailed simulation                                             | SelldownTest                                                   
MarketData                                                      | SelldownTest                                                   
MarketData                                                      | PDS O/STD                                                      
Consolidated simulation                                         | BAO View new                                                   
Detailed simulation                                             | BAO View new                                                   
Consolidated simulation                                         | vishal 2 - raei                                                
Consolidated simulation                                         | USDJPY trades                                                  
Consolidated simulation                                         | FXD DLR                                                        
MarketDataViewer                                                | FXD DLR                                                        
Detailed simulation                                             | FUT_QSBM                                                       
Consolidated simulation                                         | JEN-CoupAccrualTest                                            
MarketData                                                      | JEN-CoupAccrualTest                                            
Detailed simulation                                             | ZC SENSI_CCS                                                   
Consolidated simulation                                         | ZC SENSI_NonHKD exclBond                                       
MarketDataViewer                                                | ZC SENSI_NonHKD exclBond                                       
MarketData                                                      | Shirley-test                                                   
MarketDataViewer                                                | IRM Bond View_HKMA                                             
MarketData                                                      | OPT                                                            
Detailed simulation                                             | RISK DLR2 HY                                                   
